,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName
0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,6.0,210.0,,Wii Sports ,,Nintendo,Nintendo,
1,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,8.4,235.0,7.0,Mario,2000-10-20,,Nintendo,Super Mario Bros.
2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,7.6,319.0,7.0,Mario,2008-04-11,,Nintendo,Mario Kart Wii
3,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,6.5,103.0,7.0,Wii Sports,2009-07-24,,Nintendo,Wii Sports Resort
4,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,8.2,138.0,7,Pokémon ,,,Nintendo,
5,6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,Tetris ,,,Bullet-Proof Software,Tetris
6,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,7.7,229.0,8.0,Mario,2006-06-29,,Nintendo,New Super Mario Bros. U
7,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,7.7,229.0,8.0,Mario,2006-06-29,,Nintendo,New Super Mario Bros.
8,8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,4.8,103.0,5.0,Wii Play,2006-12-07,Nintendo,Nintendo,Wii Play
9,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,7.6,203.0,7.0,Mario,2009-11-18,,Nintendo,New Super Mario Bros. Wii
10,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,6.6,45.0,,,,,Intelligent Systems,
11,11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,6.2,17.0,7,,,,Nintendo,
12,12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,8.3,240.0,9.0,Mario,2005-11-22,,Nintendo,Mario Kart DS
13,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,8.2,136.0,6,Pokémon ,,,Nintendo,
14,14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,6.1,52.0,,Touch Generations,2008-04-23,,Nintendo,Wii Fit
15,15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,6.6,29.0,,Wii Fit,2009-10-29,,Nintendo,Wii Fit Plus
16,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,5.1,34.0,4,,,,Xbox Game Studios,
17,17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V
18,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,8.5,333.0,9.0,Grand Theft Auto (GTA),2004-11-01,,Rockstar North,Grand Theft Auto : San Andreas
19,18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,8.5,333.0,9.0,Grand Theft Auto (GTA),2004-11-01,,Rockstar North,Grand Theft Auto: San Andreas
20,19,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,8.9,286.0,9.0,Mario,2002-03-11,,Nintendo,Super Mario World
21,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,,,,,,,
22,21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,7.7,68.0,7,Pokémon ,,,Game Freak,
23,22,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,7.5,290.0,7,Mario ,,,Nintendo,
24,23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,8.9,197.0,9.0,Mario,2003-10-21,,Nintendo,Super Mario Bros. 3
25,24,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V
26,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,8.4,271.0,9.0,Grand Theft Auto (GTA),2003-05-23,Take Two Interactive,Rockstar North,Grand Theft Auto : Vice City
27,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,8.4,271.0,9.0,Grand Theft Auto (GTA),2003-05-23,Take Two Interactive,Rockstar North,Grand Theft Auto: Vice City
28,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,7.8,55.0,8,Pokémon ,,,Nintendo,
29,27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,,,,,,,,
30,28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,,,,,,,,
31,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,8.4,107.0,9,Gran Turismo ,,,Polyphony Digital,
32,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty : Modern Warfare 3
33,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty: Modern Warfare 3
34,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,,
35,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty : Black Ops
36,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty: Black Ops
37,33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,7.7,93.0,8,Pokémon ,,,Game Freak,
38,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5.6,48.0,6.0,Call of Duty,2015-11-13,,Treyarch,Call of Duty : Black Ops 3
39,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,5.6,48.0,6.0,Call of Duty,2015-11-13,,Treyarch,Call of Duty: Black Ops 3
40,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,6.1,105.0,7,,,,Treyarch,
41,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,6.1,105.0,7,,,,Treyarch,
42,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty : Modern Warfare 2
43,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,7.2,327.0,8.0,Call of Duty,2009-11-09,,Infinity Ward,Call of Duty: Modern Warfare 2
44,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty : Modern Warfare 3
45,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,6.5,189.0,7.0,Call of Duty,2011-11-10,,Infinity Ward,Call of Duty: Modern Warfare 3
46,39,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,8.4,229.0,7.0,Grand Theft Auto (GTA),2011-12-20,Take Two Interactive,Rockstar North,Grand Theft Auto III
47,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,8.1,248.0,8.0,Mario,2008-06-27,,Sora Ltd.,Super Smash Bros. Brawl
48,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty : Black Ops
49,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,6.7,226.0,7.0,Call of Duty,2010-11-08,,Treyarch,Call of Duty: Black Ops
50,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,7.3,72.0,7,,,,Nintendo,
51,43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,7.9,272.0,8.0,Mario,2011-11-28,,Nintendo,Mario Kart 7
52,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,7.2,202.0,7.0,Halo,2007-09-29,Xbox Game Studios,Xbox Game Studios,Halo 3
53,45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V
54,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,8.2,136.0,6,Pokémon ,,,Nintendo,
55,47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,8.7,445.0,8.0,Mario,2005-03-10,Nintendo,Nintendo,Super Mario 64
