,Name,Platform,Year,Genre,Publisher,DateSortie,Studio,Score,Rate,Review,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,GK_distributeur,Mois
0,Wii Sports,Wii,2006.0,Sports,Nintendo,2006-11-01,Nintendo,7.6,7.05,210.0,41.49,29.02,3.77,8.46,82.74,Wii Sports,Nintendo,11.0
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,0000-01-00,Nintendo,7.0,8.4,235.0,29.08,3.58,6.81,0.77,40.24,Mario,,1.0
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,2008-04-01,Nintendo,7.6,8.0,319.0,15.85,12.88,3.79,3.31,35.82,Mario,,4.0
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,2009-07-01,Nintendo,7.5,7.35,103.0,15.75,11.01,3.28,2.96,33.0,Wii Sports,,7.0
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,0000-01-00,Nintendo,7.0,8.2,138.0,11.27,8.89,10.22,1.0,31.37,PokǸmon,,1.0
5,Tetris,GB,1989.0,Puzzle,Nintendo,0000-01-00,Bullet-Proof Software,9.5,9.35,188.0,23.2,2.26,4.22,0.58,30.26,Tetris,,1.0
6,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,2006-05-01,Nintendo,8.45,8.1,229.0,11.38,9.23,6.5,2.9,30.01,Mario,,5.0
8,Wii Play,Wii,2006.0,Misc,Nintendo,2007-02-01,Nintendo,5.4,5.7,103.0,14.03,9.2,2.93,2.85,29.02,Wii Play,Nintendo,2.0
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,2009-11-01,Nintendo,7.85,7.95,203.0,14.59,7.06,4.7,2.26,28.62,Mario,,11.0
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,0000-01-00,Intelligent Systems,,6.6,45.0,26.93,0.63,0.28,0.47,28.31,,,1.0
11,Nintendogs,DS,2005.0,Simulation,Nintendo,0000-01-00,Nintendo,7.0,6.2,17.0,9.07,11.0,1.93,2.75,24.76,,,1.0
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,2005-11-01,Nintendo,9.03,8.62,907.5,9.81,7.57,4.13,1.92,23.42,Mario,,11.0
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,0000-01-00,Nintendo,6.0,8.2,136.0,9.0,6.18,7.2,0.71,23.1,PokǸmon,,1.0
14,Wii Fit,Wii,2007.0,Sports,Nintendo,2008-05-01,Nintendo,8.0,6.9,52.0,8.94,8.03,3.6,2.15,22.72,Touch Generations,,5.0
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,2009-10-01,Nintendo,8.0,7.05,29.0,9.09,8.59,2.53,1.79,22.0,Wii Fit,,10.0
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,2010-11-01,Good Science Studio,5.05,5.7,34.0,14.97,4.94,0.24,1.67,21.82,,,11.0
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,2013-09-01,Rockstar North,9.23,8.48,1534.0,7.01,9.27,0.97,4.14,21.4,Grand Theft Auto (GTA),,9.0
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,2004-10-01,Rockstar North,9.17,8.85,1012.5,9.43,0.4,0.41,10.57,20.81,Grand Theft Auto (GTA),,10.0
20,Super Mario World,SNES,1990.0,Platform,Nintendo,0000-01-00,Nintendo,9.0,8.9,286.0,12.78,3.75,3.54,0.55,20.61,Mario,,1.0
21,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,2006-04-01,Nintendo,7.7,7.7,,4.75,9.26,4.16,2.05,20.22,,,4.0
22,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,0000-01-00,Game Freak,7.0,7.7,68.0,6.42,4.52,6.04,1.37,18.36,PokǸmon,,1.0
23,Super Mario Land,GB,1989.0,Platform,Nintendo,1990-09-01,Nintendo,7.25,7.83,226.0,10.83,2.71,4.18,0.42,18.14,Mario,,9.0
24,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,0000-01-00,Nintendo,9.0,8.9,197.0,9.54,3.44,3.84,0.46,17.28,Mario,,1.0
25,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,2013-09-01,Rockstar North,9.23,8.52,940.5,9.63,5.31,0.06,1.38,16.38,Grand Theft Auto (GTA),,9.0
26,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,2002-11-01,Rockstar North,9.17,7.98,467.5,8.41,5.49,0.47,1.78,16.15,Grand Theft Auto (GTA),Take Two Interactive,11.0
28,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,0000-01-00,Nintendo,8.0,7.8,55.0,6.06,3.9,5.38,0.5,15.85,PokǸmon,,1.0
29,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,0000-01-00,,,,,5.57,3.28,5.65,0.82,15.32,,,1.0
30,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,2007-08-01,Nintendo,7.7,7.2,,3.44,5.36,5.32,1.18,15.3,,,8.0
31,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,2001-07-01,Polyphony Digital,9.25,8.4,107.0,6.85,5.09,1.87,1.16,14.98,Gran Turismo,,7.0
32,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,2011-11-01,Infinity Ward,8.1,5.45,1937.5,9.03,4.28,0.13,1.32,14.76,Call of Duty,,11.0
34,PokǸmon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,0000-01-00,,,,,5.89,5.04,3.12,0.59,14.64,,,1.0
35,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,2010-11-01,Treyarch,8.23,6.67,1511.5,9.67,3.73,0.11,1.13,14.64,Call of Duty,,11.0
37,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,0000-01-00,Game Freak,8.0,7.7,93.0,5.17,4.05,4.34,0.79,14.35,PokǸmon,,1.0
38,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,0000-01-00,Treyarch,6.0,5.6,48.0,5.77,5.81,0.35,2.31,14.24,Call of Duty,,1.0
40,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,2012-11-01,Treyarch,7.93,5.95,1587.0,4.99,5.88,0.65,2.52,14.03,,,11.0
41,Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,2012-11-01,Treyarch,7.93,6.05,1465.0,8.25,4.3,0.07,1.12,13.73,,,11.0
42,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,2009-11-01,Infinity Ward,8.8,7.45,1371.5,8.52,3.63,0.08,1.29,13.51,Call of Duty,,11.0
44,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,2011-11-01,Infinity Ward,8.1,5.5,1907.0,5.54,5.82,0.49,1.62,13.46,Call of Duty,,11.0
46,Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,2001-10-01,DMA Design,8.57,8.52,331.5,6.99,4.51,0.3,1.3,13.1,Grand Theft Auto (GTA),Take Two Interactive,10.0
47,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,2008-03-01,Game Arts,8.65,8.45,248.0,6.75,2.61,2.66,1.02,13.04,Mario,,3.0
48,Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,2010-11-01,Treyarch,8.27,6.75,2129.5,5.98,4.44,0.48,1.83,12.73,Call of Duty,,11.0
50,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2006-03-01,Nintendo,7.87,8.17,613.0,2.55,3.52,5.33,0.88,12.27,,,3.0
51,Mario Kart 7,3DS,2011.0,Racing,Nintendo,2011-12-01,Retro Studios,8.25,8.05,272.0,4.74,3.91,2.67,0.89,12.21,Mario,,12.0
52,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,2007-09-01,Bungie Software,8.3,7.98,879.0,7.97,2.83,0.13,1.21,12.14,Halo,Xbox Game Studios,9.0
53,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,2013-09-01,Rockstar North,9.23,8.45,581.0,3.8,5.81,0.36,2.02,11.98,Grand Theft Auto (GTA),,9.0
54,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,0000-01-00,Nintendo,6.0,8.2,136.0,4.4,2.77,3.96,0.77,11.9,PokǸmon,,1.0
55,Super Mario 64,N64,1996.0,Platform,Nintendo,1997-03-01,Nintendo,8.97,8.9,577.5,6.91,2.85,1.91,0.23,11.89,Mario,Nintendo,3.0
56,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,2005-02-01,Polyphony Digital,8.45,8.35,103.0,3.01,0.01,1.1,7.53,11.66,Gran Turismo,,2.0
57,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,2007-11-01,Nintendo,9.4,9.02,1029.0,6.16,3.4,1.2,0.76,11.52,Mario,Nintendo,11.0
58,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,0000-01-00,,7.0,7.8,51.0,4.23,3.37,3.08,0.65,11.33,PokǸmon,,1.0
59,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,1993-01-01,,8.5,8.9,154.0,6.16,2.04,2.69,0.29,11.18,,,1.0
60,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,2008-04-01,Rockstar North,9.16,8.2,1350.0,6.76,3.1,0.14,1.03,11.02,Grand Theft Auto (GTA),,4.0
61,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,1998-04-01,Polyphony Digital,8.3,7.85,38.0,4.02,3.87,2.54,0.52,10.95,Gran Turismo,,4.0
62,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,2011-11-01,Nintendo,9.0,7.95,291.0,4.89,2.99,2.13,0.78,10.79,Mario,,11.0
63,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2010-11-01,Polyphony Digital,7.7,7.5,200.0,2.96,4.88,0.81,2.12,10.77,Gran Turismo,,11.0
64,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,2009-11-01,Infinity Ward,8.8,6.9,1946.0,4.99,3.69,0.38,1.63,10.69,Call of Duty,,11.0
66,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,2008-04-01,Rockstar North,9.16,8.17,1694.0,4.76,3.76,0.44,1.62,10.57,Grand Theft Auto (GTA),,4.0
67,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,0000-01-00,Nintendo,5.0,8.1,176.0,5.99,2.15,2.12,0.29,10.55,Mario,,1.0
69,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,0000-01-00,,,,,4.34,2.65,3.15,0.35,10.49,,,1.0
70,Super Mario 64,DS,2004.0,Platform,Nintendo,0000-01-00,Nintendo,8.0,8.7,445.0,5.08,3.11,1.25,0.98,10.42,Mario,Nintendo,1.0
71,Just Dance 3,Wii,2011.0,Misc,Ubisoft,2011-10-01,Ubisoft,7.13,7.77,78.5,6.05,3.15,0.0,1.07,10.26,Just Dance,,10.0
72,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,2013-11-01,Infinity Ward,6.93,4.12,464.5,6.72,2.63,0.04,0.82,10.21,Call of Duty,,11.0
74,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,2010-09-01,Bungie,8.37,8.28,1307.5,7.03,1.98,0.08,0.78,9.88,Halo,,9.0
76,Mario Kart 64,N64,1996.0,Racing,Nintendo,1997-06-01,Nintendo,8.4,8.53,277.0,5.55,1.94,2.23,0.15,9.87,,,6.0
77,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,2012-08-01,Nintendo,7.4,7.0,140.0,3.66,3.07,2.47,0.63,9.82,Mario,,8.0
78,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,2012-11-01,343 Industries,7.9,7.62,791.0,6.63,2.36,0.04,0.73,9.76,Halo,,11.0
79,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,1997-09-01,SquareSoft,9.1,9.05,512.0,3.01,2.47,3.28,0.96,9.72,Final Fantasy,,9.0
81,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,2013-11-01,Infinity Ward,6.87,4.25,761.5,4.09,3.73,0.38,1.38,9.59,Call of Duty,,11.0
83,Just Dance 2,Wii,2010.0,Misc,Ubisoft,2010-10-01,Ubisoft,6.8,7.18,83.0,5.84,2.89,0.01,0.78,9.52,Just Dance,,10.0
84,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,1999-11-01,Polyphony Digital,8.15,8.5,89.0,3.88,3.42,1.69,0.5,9.49,Gran Turismo,,11.0
85,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,2007-11-01,Infinity Ward,8.23,8.1,688.0,5.91,2.38,0.13,0.9,9.32,Call of Duty,Activision,11.0
87,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,0000-01-00,Retro Studios,8.0,8.95,206.5,4.36,1.71,3.0,0.23,9.3,Donkey Kong,,1.0
89,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,2011-11-01,Mojang Studios,8.5,8.0,497.5,5.58,2.83,0.02,0.77,9.2,Minecraft,,11.0
90,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2013-06-01,Nintendo,7.9,8.2,88.0,2.01,2.32,4.36,0.41,9.09,Animal Crossing,,6.0
92,Mario Party DS,DS,2007.0,Misc,Nintendo,2007-11-01,Hudson Soft,7.1,7.35,28.0,4.46,1.88,1.98,0.7,9.02,Mario,Nintendo,11.0
93,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,2011-11-01,Bethesda Game Studios,8.64,8.7,1327.0,5.03,2.86,0.1,0.85,8.84,The Elder Scrolls,,11.0
95,Super Mario Kart,SNES,1992.0,Racing,Nintendo,1993-01-01,,7.0,9.0,188.0,3.54,1.24,3.81,0.18,8.76,,,1.0
96,FIFA 16,PS4,2015.0,Sports,Electronic Arts,2015-09-01,EA Sports,8.07,5.7,238.5,1.11,6.06,0.06,1.26,8.49,FIFA EA Sports,,9.0
97,Wii Party,Wii,2010.0,Misc,Nintendo,2010-10-01,Nd Cube,6.4,7.15,24.0,1.79,3.53,2.49,0.68,8.49,Wii Party,,10.0
98,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,2004-11-01,Bungie Software,7.75,8.2,158.0,6.82,1.53,0.05,0.08,8.49,Halo,,11.0
99,Mario Party 8,Wii,2007.0,Misc,Nintendo,2007-05-01,Hudson,6.1,6.2,70.0,3.81,2.3,1.58,0.73,8.42,Mario,,5.0
100,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,0000-01-00,,,,,2.91,1.86,3.14,0.43,8.33,,,1.0
101,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,2012-09-01,Electronic Arts,8.9,7.15,136.0,1.06,5.05,0.13,2.01,8.24,FIFA EA Sports,,9.0
102,The Sims 3,PC,2009.0,Simulation,Electronic Arts,2009-06-01,The Sims Studio,5.8,7.25,58.0,0.98,6.42,0.0,0.71,8.11,,,6.0
103,GoldenEye 007,N64,1997.0,Shooter,Nintendo,1997-08-01,Rare Ltd.,8.3,7.8,75.0,5.8,2.01,0.13,0.15,8.09,,Eurocom,8.0
104,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2007-11-01,Sega,6.35,6.9,48.0,2.58,3.9,0.66,0.91,8.06,,Sega,11.0
