,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_noteUsers,GK_nbAvis,GK_noteGK,GK_licence,GK_dateTestGK,GK_distributeur,GK_developpeur,GK_frenchName,Name_alphanum,JV_Name,JV_plateforms,JV_reviews,JV_launch_year,JV_launch_date,JV_journalist_rate,JV_players_rates,JV_Name_alphanum
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,6.0,210.0,,Wii Sports ,,Nintendo,Nintendo,,wiisports,,,,,,,,
1,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,8.4,235.0,7.0,Mario,2000-10-20,,Nintendo,Super Mario Bros.,supermariobros,,,,,,,,
2,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,7.6,319.0,7.0,Mario,2008-04-11,,Nintendo,Mario Kart Wii,mariokartwii,,,,,,,,
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,6.5,103.0,7.0,Wii Sports,2009-07-24,,Nintendo,Wii Sports Resort,wiisportsresort,,,,,,,,
4,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,8.2,138.0,7,Pokémon ,,,Nintendo,,pokemonredpokemonblue,,,,,,,,
7,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,Tetris ,,,Bullet-Proof Software,Tetris,tetris,Tetris,GB,188 avis,1987,,9.5,9.35,tetris
8,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,7.7,229.0,8.0,Mario,2006-06-29,,Nintendo,New Super Mario Bros. U,newsupermariobros,,,,,,,,
9,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,7.7,229.0,8.0,Mario,2006-06-29,,Nintendo,New Super Mario Bros.,newsupermariobros,,,,,,,,
10,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,4.8,103.0,5.0,Wii Play,2006-12-07,Nintendo,Nintendo,Wii Play,wiiplay,,,,,,,,
11,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,7.6,203.0,7.0,Mario,2009-11-18,,Nintendo,New Super Mario Bros. Wii,newsupermariobroswii,,,,,,,,
12,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,6.6,45.0,,,,,Intelligent Systems,,duckhunt,,,,,,,,
13,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,6.2,17.0,7,,,,Nintendo,,nintendogs,,,,,,,,
14,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,8.3,240.0,9.0,Mario,2005-11-22,,Nintendo,Mario Kart DS,mariokartds,Mario Kart DS,DS,1 575 avis,2005,2005-11-01,9.0,8.85,mariokartds
15,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,8.2,136.0,6,Pokémon ,,,Nintendo,,pokemongoldpokemonsilver,,,,,,,,
16,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,6.1,52.0,,Touch Generations,2008-04-23,,Nintendo,Wii Fit,wiifit,,,,,,,,
17,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,6.6,29.0,,Wii Fit,2009-10-29,,Nintendo,Wii Fit Plus,wiifitplus,,,,,,,,
18,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,5.1,34.0,4,,,,Xbox Game Studios,,kinectadventures,,,,,,,,
21,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V,grandtheftautov,Grand Theft Auto V,PS3,2 473 avis,2013,2013-09-01,9.0,8.65,grandtheftautov
23,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,8.5,333.0,9.0,Grand Theft Auto (GTA),2004-11-01,,Rockstar North,Grand Theft Auto : San Andreas,grandtheftautosanandreas,Grand Theft Auto : San Andreas,PS2,1 692 avis,2004,2004-10-01,9.0,8.95,grandtheftautosanandreas
25,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,8.5,333.0,9.0,Grand Theft Auto (GTA),2004-11-01,,Rockstar North,Grand Theft Auto: San Andreas,grandtheftautosanandreas,Grand Theft Auto : San Andreas,PS2,1 692 avis,2004,2004-10-01,9.0,8.95,grandtheftautosanandreas
26,Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,8.9,286.0,9.0,Mario,2002-03-11,,Nintendo,Super Mario World,supermarioworld,,,,,,,,
27,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,,,,,,,,brainagetrainyourbraininminutesaday,,,,,,,,
28,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,7.7,68.0,7,Pokémon ,,,Game Freak,,pokemondiamondpokemonpearl,,,,,,,,
30,Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,7.5,290.0,7,Mario ,,,Nintendo,,supermarioland,Super Mario Land,GB,162 avis,1990,1990-09-01,7.5,8.15,supermarioland
31,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,8.9,197.0,9.0,Mario,2003-10-21,,Nintendo,Super Mario Bros. 3,supermariobros3,,,,,,,,
34,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,8.5,595.0,9.0,Grand Theft Auto (GTA),2013-09-16,,Rockstar North,Grand Theft Auto V,grandtheftautov,Grand Theft Auto V,X360,1 286 avis,2013,2013-09-01,9.0,8.75,grandtheftautov
37,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,8.4,271.0,9.0,Grand Theft Auto (GTA),2003-05-23,Take Two Interactive,Rockstar North,Grand Theft Auto : Vice City,grandtheftautovicecity,Grand Theft Auto : Vice City,PS2,664 avis,2002,2002-11-01,9.0,6.75,grandtheftautovicecity
40,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,8.4,271.0,9.0,Grand Theft Auto (GTA),2003-05-23,Take Two Interactive,Rockstar North,Grand Theft Auto: Vice City,grandtheftautovicecity,Grand Theft Auto : Vice City,PS2,664 avis,2002,2002-11-01,9.0,6.75,grandtheftautovicecity
41,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,7.8,55.0,8,Pokémon ,,,Nintendo,,pokemonrubypokemonsapphire,,,,,,,,
42,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,,,,,,,,,pokemonblackpokemonwhite,,,,,,,,
