,Name,Platform,Year,Genre,Publisher,Studio,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,GK_licence,Mois,Date_Sortie,RM_Publisher,RM_Publisher_score,RM_Publisher_rate,RM_Publisher_reviews,RM_Studio,RM_Studio_score,RM_Studio_rate,RM_Studio_reviews,RM_Licence,RM_Licence_score,RM_Licence_rate,RM_Licence_reviews,is_serie,is_top_serie,is_top_studio,is_e3,is_launch_plateform_associated
0,Wii Sports,Wii,2006,Sports,Nintendo,Nintendo,41.49,29.02,3.77,8.46,82.74,Wii Sports,11,2006-11-01,3.5,8.3,7.8,229.0,30.01,8.45,8.1,229.0,30.01,8.45,8.1,229.0,1,1,1,1,1
1,Super Mario Bros.,NES,1985,Platform,Nintendo,Nintendo,29.08,3.58,6.81,0.77,40.24,Mario,1,1985-01-01,1.27,7.0,5.6,5.0,2.17,7.0,6.3,12.0,1.59,7.0,7.1,172.0,1,1,1,0,1
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,Nintendo,15.85,12.88,3.79,3.31,35.82,Mario,4,2008-04-01,0.66,7.85,8.2,116.0,0.01,7.25,7.15,39.5,9.02,7.1,7.35,28.0,1,1,1,0,0
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,Nintendo,15.75,11.01,3.28,2.96,33.0,Wii Sports,7,2009-07-01,0.53,8.15,8.2,42.0,11.9,6.0,8.2,136.0,82.74,7.6,7.05,210.0,1,1,1,1,1
4,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,Nintendo,11.27,8.89,10.22,1.0,31.37,PokǸmon,1,1996-01-01,0.09,9.0,7.8,22.0,0.06,9.0,8.9,197.0,0.06,9.0,8.9,197.0,1,1,1,0,0
5,Tetris,GB,1989,Puzzle,Nintendo,Bullet-Proof Software,23.2,2.26,4.22,0.58,30.26,Tetris,1,1989-01-01,2.14,7.1,7.1,8.0,5.58,7.1,7.1,8.0,5.58,7.1,7.1,8.0,1,1,0,0,1
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,Nintendo,11.38,9.23,6.5,2.9,30.01,Mario,5,2006-05-01,0.14,6.9,8.4,73.0,2.13,7.7,7.8,73.0,0.98,5.97,5.98,31.5,0,0,1,0,0
7,Wii Play,Wii,2006,Misc,Nintendo,Nintendo,14.03,9.2,2.93,2.85,29.02,Wii Play,2,2006-02-01,0.03,9.2,9.2,11.0,0.3,9.2,9.2,11.0,0.3,9.2,9.2,11.0,1,1,1,0,1
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,Nintendo,14.59,7.06,4.7,2.26,28.62,Mario,11,2009-11-01,2.79,7.65,7.8,50.0,33.0,7.5,7.35,103.0,13.04,8.65,8.45,248.0,0,0,1,1,0
9,Duck Hunt,NES,1984,Shooter,Nintendo,Intelligent Systems,26.93,0.63,0.28,0.47,28.31,Duck Hunt,1,1984-01-01,1.11,5.4,5.4,24.0,1.11,5.4,5.4,24.0,1.11,5.4,5.4,24.0,0,0,1,0,1
10,Nintendogs,DS,2005,Simulation,Nintendo,Nintendo,9.07,11.0,1.93,2.75,24.76,Nintendogs,1,2005-01-01,0.14,6.5,7.65,1.0,0.43,5.8,8.2,1.0,0.43,5.8,8.2,1.0,0,0,1,1,0
11,Mario Kart DS,DS,2005,Racing,Nintendo,Nintendo,9.81,7.57,4.13,1.92,23.42,Mario,11,2005-11-01,0.37,7.05,7.75,85.0,6.67,7.4,7.5,85.0,0.39,7.15,6.65,35.0,1,1,1,1,0
