,jeu,plateforme-url,date,metascore,studio,userscore
0,Buzz! Junior: RoboJam,PlayStation 3,"Jul  9, 2009",0.0,Magenta Software,0.0
1,The Bigs 2,PlayStation 3,"Jul  7, 2009",80.0,Blue Castle Games,7.8
2,The Punisher: No Mercy,PlayStation 3,"Jul  2, 2009",47.0,Zen Studios,6.4
3,Harry Potter and the Half-Blood Prince,PlayStation 3,"Jun 30, 2009",66.0,EA Bright Light,4.9
4,Call of Juarez: Bound in Blood,PlayStation 3,"Jun 30, 2009",78.0,Techland,7.6
5,Ice Age: Dawn of the Dinosaurs,PlayStation 3,"Jun 30, 2009",67.0,Activision,7.3
6,BlazBlue: Calamity Trigger,PlayStation 3,"Jun 30, 2009",87.0,Arc System Works,8.5
7,Droplitz,PlayStation 3,"Jun 25, 2009",76.0,Blitz Arcade,0.0
8,Fight Night Round 4,PlayStation 3,"Jun 23, 2009",88.0,EA Canada,7.6
9,Overlord II,PlayStation 3,"Jun 23, 2009",72.0,Triumph Studios,7.7
10,Dynasty Warriors 6 Empires,PlayStation 3,"Jun 23, 2009",62.0,Omega Force,7.1
11,Transformers: Revenge of the Fallen,PlayStation 3,"Jun 23, 2009",63.0,"Luxoflux, Inc.",6.9
12,Ghostbusters: The Video Game,PlayStation 3,"Jun 16, 2009",78.0,Terminal Reality,7.9
13,Guitar Hero: Smash Hits,PlayStation 3,"Jun 16, 2009",73.0,Beenox,7.3
14,Bomberman Ultra,PlayStation 3,"Jun 11, 2009",81.0,Hudson,7.7
15,Heavy Weapon: Atomic Tank,PlayStation 3,"Jun 11, 2009",65.0,PopCap,7.0
16,Gunstar Heroes,PlayStation 3,"Jun 11, 2009",71.0,Backbone Entertainment,7.6
17,Sonic Unleashed: Empire City & Adabat Adventure Pack,PlayStation 3,"Jun 11, 2009",0.0,Sonic Team,0.0
18,Burnout Paradise: Big Surf Island,PlayStation 3,"Jun 11, 2009",0.0,Criterion Games,7.1
19,Saints Row 2: The Unkut Pack,PlayStation 3,"Jun 11, 2009",0.0,Volition Inc.,0.0
