,Platform,Year,Genre,Publisher,Studio,GK_licence,Mois,RM_Publisher,RM_Publisher_score,RM_Publisher_rate,RM_Publisher_reviews,RM_Studio,RM_Studio_score,RM_Studio_rate,RM_Studio_reviews,RM_Licence,RM_Licence_score,RM_Licence_rate,RM_Licence_reviews,is_serie,is_top_serie,is_top_studio,is_e3,is_launch_plateform_associated,Sales_cat
0,1.0,2006,1.0,1.0,1.0,1.0,11,3.5,8.3,7.8,229.0,30.01,8.45,8.1,229.0,30.01,8.45,8.1,229.0,1,1,1,1,1,4
1,2.0,1985,2.0,1.0,1.0,2.0,1,1.27,7.0,5.6,5.0,2.17,7.0,6.3,12.0,1.59,7.0,7.1,172.0,1,1,1,0,1,4
2,1.0,2008,3.0,1.0,1.0,2.0,4,0.66,7.85,8.2,116.0,0.01,7.25,7.15,39.5,9.02,7.1,7.35,28.0,1,1,1,0,0,4
3,1.0,2009,1.0,1.0,1.0,1.0,7,0.53,8.15,8.2,42.0,11.9,6.0,8.2,136.0,82.74,7.6,7.05,210.0,1,1,1,1,1,4
4,3.0,1996,4.0,1.0,1.0,3.0,1,0.09,9.0,7.8,22.0,0.06,9.0,8.9,197.0,0.06,9.0,8.9,197.0,1,1,1,0,0,4
5,3.0,1989,5.0,1.0,2.0,4.0,1,2.14,7.1,7.1,8.0,5.58,7.1,7.1,8.0,5.58,7.1,7.1,8.0,1,1,0,0,1,4
6,4.0,2006,2.0,1.0,1.0,2.0,5,0.14,6.9,8.4,73.0,2.13,7.7,7.8,73.0,0.98,5.97,5.98,31.5,0,0,1,0,0,4
7,1.0,2006,6.0,1.0,1.0,5.0,2,0.03,9.2,9.2,11.0,0.3,9.2,9.2,11.0,0.3,9.2,9.2,11.0,1,1,1,0,1,4
8,1.0,2009,2.0,1.0,1.0,2.0,11,2.79,7.65,7.8,50.0,33.0,7.5,7.35,103.0,13.04,8.65,8.45,248.0,0,0,1,1,0,4
9,2.0,1984,7.0,1.0,3.0,6.0,1,1.11,5.4,5.4,24.0,1.11,5.4,5.4,24.0,1.11,5.4,5.4,24.0,0,0,1,0,1,4
10,4.0,2005,8.0,1.0,1.0,7.0,1,0.14,6.5,7.65,1.0,0.43,5.8,8.2,1.0,0.43,5.8,8.2,1.0,0,0,1,1,0,4
11,4.0,2005,3.0,1.0,1.0,2.0,11,0.37,7.05,7.75,85.0,6.67,7.4,7.5,85.0,0.39,7.15,6.65,35.0,1,1,1,1,0,4
12,3.0,1999,4.0,1.0,1.0,3.0,1,7.6,9.47,9.28,1050.0,7.6,9.47,9.28,1050.0,1.83,5.7,5.2,1.0,1,1,1,0,0,4
13,1.0,2007,1.0,1.0,1.0,8.0,5,1.24,6.15,7.3,84.0,7.31,9.08,8.65,564.0,7.31,9.08,8.65,564.0,1,1,1,0,0,4
14,1.0,2009,1.0,1.0,1.0,9.0,10,3.83,8.0,8.25,64.0,0.6,8.0,8.3,59.0,0.6,8.0,8.3,59.0,1,1,1,1,0,4
15,5.0,2010,6.0,2.0,4.0,10.0,11,9.88,8.37,8.28,1307.5,9.88,8.37,8.28,1307.5,9.88,8.37,8.28,1307.5,0,0,0,1,0,4
16,6.0,2013,9.0,3.0,5.0,11.0,9,0.24,6.6,6.67,26.5,11.02,9.16,8.2,1350.0,1.35,8.93,8.18,348.0,1,1,1,1,0,4
17,7.0,2004,9.0,3.0,5.0,11.0,10,1.45,6.93,7.4,65.0,0.04,9.13,8.68,363.5,1.72,9.0,8.6,17.0,1,1,1,0,0,4
18,8.0,1990,2.0,1.0,1.0,2.0,1,1.2,4.5,6.8,5.0,1.2,4.5,6.8,5.0,5.34,4.5,6.9,26.5,1,1,1,0,1,4
19,4.0,2005,6.0,1.0,1.0,12.0,4,0.6,6.2,7.3,613.0,12.27,7.87,8.17,613.0,12.27,7.87,8.17,613.0,0,0,1,0,0,4
20,4.0,2006,4.0,1.0,6.0,3.0,1,0.61,7.25,8.05,158.0,0.49,7.25,7.0,1.0,0.77,4.8,4.85,4.0,1,1,0,0,0,4
21,3.0,1989,2.0,1.0,1.0,2.0,9,1.28,8.0,4.3,3.0,1.61,8.0,4.3,3.0,7.46,8.0,7.5,160.0,1,1,1,0,1,4
22,2.0,1988,2.0,1.0,1.0,2.0,1,2.4,7.0,4.8,4.0,2.4,7.0,4.8,4.0,2.28,7.0,7.1,172.0,1,1,1,0,1,4
23,5.0,2013,9.0,3.0,5.0,11.0,9,0.05,6.53,6.43,47.0,10.57,9.16,8.17,1694.0,1.08,8.83,7.52,177.5,1,1,1,1,0,4
24,7.0,2002,9.0,3.0,5.0,11.0,11,0.05,7.99,8.82,189.5,0.05,7.99,8.82,189.5,13.1,8.57,8.52,331.5,1,1,1,0,0,4
25,9.0,2002,4.0,1.0,1.0,3.0,1,7.07,9.2,9.1,46.0,0.6,8.0,7.9,46.0,6.39,6.0,8.0,46.0,1,1,1,0,0,4
26,4.0,2010,4.0,1.0,7.0,13.0,1,28.62,7.85,7.95,203.0,28.62,7.85,7.95,203.0,28.62,7.85,7.95,203.0,1,1,0,0,0,4
27,4.0,2005,5.0,1.0,1.0,14.0,8,0.73,7.3,7.2,23.0,0.74,7.9,8.7,5.0,0.74,7.9,8.7,5.0,0,0,1,0,0,4
28,7.0,2001,3.0,4.0,8.0,15.0,7,0.17,5.15,6.3,4.0,9.49,8.15,8.5,89.0,9.49,8.15,8.5,89.0,1,1,1,1,0,4
